Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Riechedly Bazoer,25,Central Midfield,Netherlands,5.0,AZ Alkmaar,Eredivisie,Netherlands,Free,0.0
Ian Maatsen,20,Left-Back,Netherlands,5.0,Burnley,Championship,England,Loan,0.0
Levi Colwill,19,Centre-Back,England,5.0,Brighton,Premier League,England,Loan,0.0
Jon Karrikaburu,20,Centre-Forward,Spain,5.0,CD Leganés,LaLiga2,Spain,Loan,0.0
José Ángel Carmona,20,Right-Back,Spain,5.0,Elche CF,LaLiga,Spain,Loan,0.0
Soualiho Meïté,28,Central Midfield,France,5.0,Cremonese,Serie A,Italy,Loan,0.0
Antonio Blanco,22,Defensive Midfield,Spain,5.0,Cádiz CF,LaLiga,Spain,Loan,0.0
Pablo Marí,28,Centre-Back,Spain,5.0,Monza,Serie A,Italy,Loan,0.0
Aaron Connolly,22,Centre-Forward,Ireland,5.0,Hull City,Championship,England,Loan,0.0
Jean Michaël Seri,30,Central Midfield,Cote d'Ivoire,5.0,Hull City,Championship,England,Free,0.0
Steven Alzate,23,Central Midfield,Colombia,5.0,Standard Liège,Jupiler Pro League,Belgium,Loan,0.0
Fernando Pacheco,30,Goalkeeper,Spain,5.0,UD Almería,LaLiga,Spain,Free,0.0
Pierluigi Gollini,27,Goalkeeper,Italy,5.0,SSC Napoli,Serie A,Italy,Loan,0.0
Yacine Brahimi,32,Left Winger,Algeria,5.0,Al-Gharafa SC,Stars League,Qatar,Free,0.0
Vitinho,23,Left Winger,Brazil,5.0,RB Bragantino,Série A,Brazil,Loan,0.0
Héctor Herrera,32,Central Midfield,Mexico,5.0,Houston,MLS,United States,Free,0.0
Nicolás Acevedo,23,Defensive Midfield,Uruguay,5.0,EC Bahia,Série A,Brazil,Loan,0.0
Ricardo Goulart,31,Attacking Midfield,Brazil,5.0,EC Bahia,Série B,Brazil,Free,0.0
Yan Couto,20,Right-Back,Brazil,5.0,Girona,LaLiga,Spain,Loan,0.0
Marcos Paulo,21,Left Winger,Portugal,5.0,CD Mirandés,LaLiga2,Spain,Loan,0.0
Shon Weissman,26,Centre-Forward,Israel,5.0,Granada CF,LaLiga2,Spain,Loan,0.0
David Ospina,33,Goalkeeper,Colombia,5.0,Al-Nassr FC,Saudi Pro League,Saudi Arabia,Free,0.0
Santiago Rodríguez,23,Attacking Midfield,Uruguay,5.0,New York City,MLS,United States,Unknown,0.0
Carlos Salcedo,28,Centre-Back,Mexico,5.0,FC Juárez,Liga MX Clausura,Mexico,Free,0.0
Anthony Nwakaeme,33,Left Winger,Nigeria,5.0,Al-Fayha,Saudi Pro League,Saudi Arabia,Free,0.0
Josef Martínez,29,Centre-Forward,Venezuela,5.0,Miami,MLS,United States,Free,0.0
Thiago Borbas,20,Centre-Forward,Uruguay,4.0,RB Bragantino,Série A,Brazil,Permanent,4.8
Dia Saba,29,Attacking Midfield,Israel,4.8,Sivasspor,Süper Lig,Turkey,Free,0.0
Rodrigo Aguirre,27,Centre-Forward,Uruguay,2.0,Monterrey,Liga MX Clausura,Mexico,Permanent,4.75
Amar Fatah,18,Left Winger,Sweden,3.5,Troyes,Ligue 1,France,Permanent,4.7
Renzo López,28,Centre-Forward,Uruguay,1.2,Al-Batin,Saudi Pro League,Saudi Arabia,Permanent,4.7
Berat Özdemir,24,Defensive Midfield,Turkey,4.7,Ettifaq FC,Saudi Pro League,Saudi Arabia,Permanent,2.44
Nicolas Moumi Ngamaleu,28,Left Winger,Cameroon,4.7,Dynamo Moscow,Premier Liga,Russia,Permanent,2.0
Julián Aude,19,Left-Back,Argentina,1.0,Los Angeles,MLS,United States,Permanent,4.65
Rasmus Højlund,19,Centre-Forward,Denmark,4.5,Atalanta BC,Serie A,Italy,Permanent,17.2
Daniel-Kofi Kyereh,26,Attacking Midfield,Ghana,3.0,SC Freiburg,Bundesliga,Germany,Permanent,4.5
Denis Vavro,26,Centre-Back,Slovakia,3.0,FC Copenhagen,Superligaen,Denmark,Permanent,4.5
Edu Expósito,26,Central Midfield,Spain,4.0,Espanyol,LaLiga,Spain,Permanent,4.5
Mateo Cassierra,25,Centre-Forward,Colombia,4.5,Zenit S-Pb,Premier Liga,Russia,Permanent,4.5
Allahyar Sayyadmanesh,21,Left Winger,Iran,2.5,Hull City,Championship,England,Permanent,4.5
Marcão,28,Centre-Forward,Brazil,4.5,Al-Ahli,Saudi Arabia,Saudi Arabia,Permanent,4.5
Gastón Ávila,20,Left-Back,Argentina,4.5,Royal Antwerp,Jupiler Pro League,Belgium,Permanent,4.4
Pietro Pellegri,21,Centre-Forward,Italy,4.5,Torino,Serie A,Italy,Permanent,4.2
Paxten Aaronson,19,Attacking Midfield,United States,4.5,E. Frankfurt,Bundesliga,Germany,Permanent,4.0
Jamie Leweling,21,Second Striker,Germany,4.5,Union Berlin,Bundesliga,Germany,Permanent,4.0
Patrick Berg,24,Defensive Midfield,Norway,4.5,Bodø/Glimt,Eliteserien,Norway,Permanent,4.0
Adonis Frías,24,Centre-Back,Argentina,4.5,León,Liga MX Clausura,Mexico,Permanent,3.74
Andraz Sporar,28,Centre-Forward,Slovenia,4.5,Panathinaikos,Super League 1,Greece,Permanent,3.5
Ademir,28,Right Winger,Brazil,4.5,EC Bahia,Série A,Brazil,Permanent,2.3
Luca Kilian,22,Centre-Back,Germany,4.5,1.FC Köln,Bundesliga,Germany,Permanent,2.0
Ezequiel Bullaude,21,Attacking Midfield,Argentina,4.5,Feyenoord,Eredivisie,Netherlands,Permanent,2.0
Moussa Sissoko,32,Central Midfield,France,4.5,FC Nantes,Ligue 1,France,Permanent,2.0
Vitor Hugo,31,Centre-Back,Brazil,4.5,EC Bahia,Série A,Brazil,Permanent,1.8
Federico Gattoni,23,Centre-Back,Argentina,4.5,Sevilla FC,LaLiga,Spain,Permanent,1.4
Lorenzo Montipò,26,Goalkeeper,Italy,4.5,Hellas Verona,Serie A,Italy,Permanent,1.1
David Martínez,24,Centre-Back,Paraguay,4.5,River Plate,Copa de la Liga,Argentina,Permanent,1.0
Tiquinho Soares,31,Centre-Forward,Brazil,4.5,Botafogo,Série A,Brazil,Permanent,1.0
Christopher Jullien,29,Centre-Back,France,4.5,Montpellier,Ligue 1,France,Permanent,1.0
Youssef Maleh,24,Central Midfield,Morocco,4.5,Lecce,Serie A,Italy,Loan,0.0
Agustín Rogel,24,Centre-Back,Uruguay,4.5,Hertha BSC,Bundesliga,Germany,Permanent,4.0
Hiroki Ito,23,Centre-Back,Japan,4.5,VfB Stuttgart,Bundesliga,Germany,Permanent,4.0
Kaan Ayhan,28,Centre-Back,Turkey,4.5,Galatasaray,Süper Lig,Turkey,Loan,0.0
Linus Gechter,18,Centre-Back,Germany,4.5,E. Braunschweig,2. Bundesliga,Germany,Loan,0.0
Michael Frey,28,Centre-Forward,Switzerland,4.5,FC Schalke 04,Bundesliga,Germany,Loan,0.0
Michael Gregoritsch,28,Centre-Forward,Austria,4.5,SC Freiburg,Bundesliga,Germany,Free,0.0
Oliver Burke,25,Centre-Forward,Scotland,4.5,Werder Bremen,Bundesliga,Germany,Free,0.0
Benjamin Verbic,28,Left Winger,Slovenia,4.5,Panathinaikos,Super League 1,Greece,Free,0.0
Bernard,29,Left Winger,Brazil,4.5,Panathinaikos,Super League 1,Greece,Free,0.0
Wylan Cyprien,27,Central Midfield,France,4.5,FC Sion,Super League,Switzerland,Loan,0.0
Junior Sambia,25,Right-Back,France,4.5,Salernitana,Serie A,Italy,Free,0.0
Ronaël Pierre-Gabriel,24,Right-Back,France,4.5,Espanyol,LaLiga,Spain,Loan,0.0
Vini Souza,23,Defensive Midfield,Brazil,4.5,Espanyol,LaLiga,Spain,Loan,0.0
Emanuel Vignato,22,Right Winger,Italy,4.5,FC Empoli,Serie A,Italy,Loan,0.0
Koray Günter,28,Centre-Back,Germany,4.5,Sampdoria,Serie A,Italy,Loan,0.0
Emirhan Ilkhan,18,Central Midfield,Turkey,4.5,Sampdoria,Serie A,Italy,Loan,0.0
Dia Saba,30,Attacking Midfield,Israel,4.5,Maccabi Haifa,Ligat ha'Al,Israel,Free,0.0
Jordan Beyer,22,Centre-Back,Germany,4.5,Burnley,Championship,England,Loan,0.0
Gaël Kakuta,31,Attacking Midfield,DR Congo,4.5,Amiens SC,Ligue 2,France,Free,0.0
Federico Gattoni,23,Centre-Back,Argentina,4.5,San Lorenzo,Copa de la Liga,Argentina,Loan,0.0
David Okereke,24,Centre-Forward,Nigeria,4.5,Cremonese,Serie A,Italy,Unknown,0.0
Germán Berterame,23,Centre-Forward,Argentina,4.5,Monterrey,Liga MX Clausura,Mexico,Free,0.0
Dimitrios Pelkas,28,Attacking Midfield,Greece,4.5,Hull City,Championship,England,Loan,0.0
Israel Reyes,22,Centre-Back,Mexico,4.5,América,Liga MX Clausura,Mexico,Unknown,0.0
Gonzalo Villar,24,Central Midfield,Spain,4.5,Getafe,LaLiga,Spain,Loan,0.0
Yorbe Vertessen,22,Centre-Forward,Belgium,4.5,Union SG,Jupiler Pro League,Belgium,Loan,0.0
Ilan Kebbal,24,Attacking Midfield,Algeria,4.5,Paris FC,Ligue 2,France,Loan,0.0
Konstantinos Manolas,31,Centre-Back,Greece,4.5,Sharjah FC,UAE Pro League,United Arab Emirates,Unknown,0.0
Gabriel Pirani,20,Central Midfield,Brazil,4.5,Cuiabá-MT,Série A,Brazil,Loan,0.0
Omar Khribin,28,Centre-Forward,Syria,4.5,Shabab Al-Ahli,UAE Pro League,United Arab Emirates,Loan,0.0
Alexandro Bernabéi,21,Left-Back,Argentina,3.3,Celtic,Premiership,Scotland,Permanent,4.35
Gustavo del Prete,26,Centre-Forward,Argentina,3.8,UNAM Pumas,Liga MX Clausura,Mexico,Permanent,4.3
Can Bozdogan,21,Central Midfield,Germany,4.3,FC Utrecht,Eredivisie,Netherlands,Loan,0.0
Bruma,28,Left Winger,Portugal,3.6,Fenerbahce,Süper Lig,Turkey,Permanent,4.25
Nicolás Marichal,21,Centre-Back,Uruguay,1.0,Dynamo Moscow,Premier Liga,Russia,Permanent,4.2
Pablo Solari,21,Right Winger,Argentina,1.8,River Plate,Liga Profesional,Argentina,Permanent,4.2
Stefano Denswil,29,Centre-Back,Suriname,4.2,Trabzonspor,Süper Lig,Turkey,Free,0.0
Djaniny,31,Centre-Forward,Cape Verde,4.2,Sharjah FC,UAE Pro League,United Arab Emirates,Loan,0.0
Veljko Birmancevic,24,Left Winger,Serbia,3.5,Toulouse,Ligue 1,France,Permanent,4.1
Ayoub El Kaabi,29,Centre-Forward,Morocco,4.1,Al-Sadd SC,Stars League,Qatar,Free,0.0
Bosko Sutalo,22,Centre-Back,Croatia,3.0,Dinamo Zagreb,SuperSport HNL,Croatia,Permanent,4.05
Janis Antiste,20,Centre-Forward,France,4.0,Sassuolo,Serie A,Italy,Permanent,5.68
Jens Stage,25,Central Midfield,Denmark,3.5,Werder Bremen,Bundesliga,Germany,Permanent,4.0
Hugo Cuypers,25,Centre-Forward,Belgium,3.0,KAA Gent,Jupiler Pro League,Belgium,Permanent,4.0
Alexis Duarte,22,Centre-Back,Paraguay,4.0,Spartak Moscow,Premier Liga,Russia,Permanent,4.0
Santiago Gimenez,21,Centre-Forward,Mexico,4.0,Feyenoord,Eredivisie,Netherlands,Permanent,4.0
Filippo Melegoni,23,Central Midfield,Italy,2.0,Genoa,Serie B,Italy,Permanent,4.0
Juan Cabal,21,Centre-Back,Colombia,8.0,Hellas Verona,Serie A,Italy,Permanent,4.0
Jaka Bijol,23,Centre-Back,Slovenia,3.5,Udinese Calcio,Serie A,Italy,Permanent,4.0
Enzo Ebosse,23,Centre-Back,Cameroon,2.0,Udinese Calcio,Serie A,Italy,Permanent,4.0
Michel Aebischer,25,Central Midfield,Switzerland,3.5,Bologna,Serie A,Italy,Permanent,4.0
Alan Virginius,19,Left Winger,France,2.0,LOSC Lille,Ligue 1,France,Permanent,4.0
Benson Manuel Hedilazio,25,Right Winger,Belgium,3.0,Burnley,Championship,England,Permanent,4.0
Anass Zaroury,21,Left Winger,Morocco,1.2,Burnley,Championship,England,Permanent,4.0
Yasin Ayari,19,Central Midfield,Sweden,4.0,Brighton,Premier League,England,Permanent,4.0
Nicolás Fernández Mercau,22,Left-Back,Argentina,2.5,Elche CF,LaLiga,Spain,Permanent,4.0
Dogukan Sinik,23,Left Winger,Turkey,4.0,Hull City,Championship,England,Permanent,4.0
Carlos Salcedo,29,Centre-Back,Mexico,4.0,CD Cruz Azul,Liga MX Clausura,Mexico,Permanent,3.72
Martin Hongla,24,Defensive Midfield,Cameroon,4.0,Hellas Verona,Serie A,Italy,Permanent,3.7
Marcus Forss,23,Centre-Forward,Finland,4.0,Middlesbrough,Championship,England,Permanent,3.6
Hidemasa Morita,27,Defensive Midfield,Japan,4.0,Sporting CP,Liga Portugal,Portugal,Permanent,3.45
Carlos González,29,Centre-Forward,Paraguay,4.0,Toluca,Liga MX Clausura,Mexico,Permanent,3.3
Emil Bohinen,23,Central Midfield,Norway,4.0,Salernitana,Serie A,Italy,Permanent,3.25
Agustín Urzi,22,Left Winger,Argentina,4.0,FC Juárez,Liga MX Clausura,Mexico,Permanent,3.2
Rabbi Matondo,21,Right Winger,Wales,4.0,Rangers,Premiership,Scotland,Permanent,3.0
Luuk de Jong,31,Centre-Forward,Netherlands,4.0,PSV Eindhoven,Eredivisie,Netherlands,Permanent,3.0
Alejandro Pozo,23,Right-Back,Spain,4.0,UD Almería,LaLiga,Spain,Permanent,3.0
Néstor Araújo,30,Centre-Back,Mexico,4.0,América,Liga MX Clausura,Mexico,Permanent,3.0
Jonathan Calleri,28,Centre-Forward,Argentina,4.0,São Paulo,Série A,Brazil,Permanent,2.9
Carlos Gruezo,27,Defensive Midfield,Ecuador,4.0,San Jose,MLS,United States,Permanent,2.7
Aïssa Laïdouni,26,Central Midfield,Tunisia,4.0,Union Berlin,Bundesliga,Germany,Permanent,2.6
Rasmus Lauritsen,26,Centre-Back,Denmark,4.0,Bröndby IF,Superligaen,Denmark,Permanent,2.5
Abdelhamid Sabiri,26,Attacking Midfield,Morocco,4.0,Fiorentina,Serie A,Italy,Permanent,2.5
Enzo Díaz,27,Left-Back,Argentina,4.0,River Plate,Copa de la Liga,Argentina,Permanent,2.3
Martin Dúbravka,33,Goalkeeper,Slovakia,4.0,Man Utd,Premier League,England,Loan,0.0
Benjamin Lecomte,31,Goalkeeper,France,4.0,Montpellier,Ligue 1,France,Permanent,2.0
Gonzalo Melero,28,Central Midfield,Spain,4.0,UD Almería,LaLiga,Spain,Permanent,1.9
Nacho Fernández,32,Attacking Midfield,Argentina,4.0,River Plate,Copa de la Liga,Argentina,Permanent,1.88
Alan Mozo,25,Right-Back,Mexico,4.0,Chivas,Liga MX Clausura,Mexico,Permanent,1.8
Elvis Rexhbecaj,24,Central Midfield,Germany,4.0,FC Augsburg,Bundesliga,Germany,Permanent,1.7
Michal Sadilek,23,Central Midfield,Czech Republic,4.0,Twente FC,Eredivisie,Netherlands,Permanent,1.5
Tomás Chancalay,23,Left Winger,Argentina,4.0,Al-Wasl,UAE Pro League,United Arab Emirates,Loan,0.0
Agustín Marchesín,34,Goalkeeper,Argentina,4.0,Celta de Vigo,LaLiga,Spain,Permanent,1.05
Jayden Nelson,20,Left Winger,Canada,4.0,Rosenborg,Eliteserien,Norway,Permanent,1.0
Dylan Bronn,27,Centre-Back,Tunisia,4.0,Salernitana,Serie A,Italy,Permanent,1.0
Kasper Schmeichel,35,Goalkeeper,Denmark,4.0,OGC Nice,Ligue 1,France,Permanent,1.0
Adrián Embarba,30,Right Winger,Spain,4.0,UD Almería,LaLiga,Spain,Permanent,1.0
Zaydou Youssouf,23,Central Midfield,France,4.0,Famalicão,Liga Portugal,Portugal,Permanent,1.0
Braian Romero,31,Centre-Forward,Argentina,4.0,Internacional,Série A,Brazil,Permanent,9.0
Willer Ditta,24,Centre-Back,Colombia,4.0,Newell's,Copa de la Liga,Argentina,Permanent,6.65
Tom Krauß,21,Central Midfield,Germany,4.0,FC Schalke 04,Bundesliga,Germany,Loan,0.0
Gyrano Kerk,27,Right Winger,Netherlands,4.0,Royal Antwerp,Jupiler Pro League,Belgium,Loan,0.0
Falaye Sacko,27,Right-Back,Mali,4.0,Montpellier,Ligue 1,France,Loan,0.0
Johan Vásquez,23,Centre-Back,Mexico,4.0,Cremonese,Serie A,Italy,Loan,0.0
Arijan Ademi,31,Defensive Midfield,North Macedonia,4.0,BJ Guoan,Super League,China,Permanent,5.0
Emre Akbaba,29,Attacking Midfield,Turkey,4.0,Adana Demirspor,Süper Lig,Turkey,Permanent,5.0
Kevin Gutiérrez,25,Defensive Midfield,Argentina,4.0,Defensa,Copa de la Liga,Argentina,Permanent,4.84
Otabek Shukurov,26,Central Midfield,Uzbekistan,4.0,Karagümrük,Süper Lig,Turkey,Permanent,4.2
Álvaro Fernández,24,Goalkeeper,Spain,4.0,Espanyol,LaLiga,Spain,Loan,0.0
Moritz Jenz,23,Centre-Back,Germany,4.0,FC Schalke 04,Bundesliga,Germany,Loan,0.0
Bartosz Bialek,20,Centre-Forward,Poland,4.0,Vitesse,Eredivisie,Netherlands,Loan,0.0
Renato Kayzer,26,Centre-Forward,Brazil,4.0,Daejeon Hana C.,K League 2,"Korea, South",Loan,0.0
Caio Paulista,24,Left-Back,Brazil,4.0,São Paulo,Série A,Brazil,Loan,0.0
Axel Witsel,33,Defensive Midfield,Belgium,4.0,Atlético Madrid,LaLiga,Spain,Free,0.0
Andy Pelmard,22,Centre-Back,France,4.0,FC Basel,Super League,Switzerland,Unknown,0.0
Dan Ndoye,21,Right Winger,Switzerland,4.0,FC Basel,Super League,Switzerland,Unknown,0.0
Jonjoe Kenny,25,Right-Back,England,4.0,Hertha BSC,Bundesliga,Germany,Free,0.0
Ivan Sunjic,25,Defensive Midfield,Croatia,4.0,Hertha BSC,Bundesliga,Germany,Loan,0.0
Jean-Paul Boëtius,28,Attacking Midfield,Netherlands,4.0,Hertha BSC,Bundesliga,Germany,Free,0.0
Francesco Acerbi,34,Centre-Back,Italy,4.0,Inter,Serie A,Italy,Loan,0.0
Danilho Doekhi,24,Centre-Back,Netherlands,4.0,Union Berlin,Bundesliga,Germany,Free,0.0
Felix Mambimbi,21,Left Winger,Switzerland,4.0,SC Cambuur,Eredivisie,Netherlands,Loan,0.0
Dries Mertens,35,Second Striker,Belgium,4.0,Galatasaray,Süper Lig,Turkey,Free,0.0
Pizzi,32,Attacking Midfield,Portugal,4.0,Al-Wahda FC,UAE Pro League,United Arab Emirates,Free,0.0
Vakoun Bayo,26,Centre-Forward,Cote d'Ivoire,4.0,RSC Charleroi,Jupiler Pro League,Belgium,Loan,0.0
Jordan Larsson,25,Right Winger,Sweden,4.0,FC Copenhagen,Superligaen,Denmark,Loan,0.0
Jakub Jankto,26,Left Midfield,Czech Republic,4.0,Sparta Prague,Fortuna Liga,Czech Republic,Loan,0.0
Mads Bech Sörensen,24,Centre-Back,Denmark,4.0,FC Groningen,Eredivisie,Netherlands,Loan,0.0
Luis Suárez,35,Centre-Forward,Uruguay,4.0,Grêmio,Série A,Brazil,Free,0.0
Danilo,23,Centre-Forward,Brazil,4.0,Feyenoord,Eredivisie,Netherlands,Free,0.0
Oussama Idrissi,26,Left Winger,Morocco,4.0,Feyenoord,Eredivisie,Netherlands,Loan,0.0
Ludwig Augustinsson,28,Left-Back,Sweden,4.0,RCD Mallorca,LaLiga,Spain,Loan,0.0
Manu Morlanes,24,Central Midfield,Spain,4.0,RCD Mallorca,LaLiga,Spain,Loan,0.0
Issa Kaboré,21,Right-Back,Burkina Faso,4.0,Marseille,Ligue 1,France,Loan,0.0
Mattia Aramu,27,Attacking Midfield,Italy,4.0,Genoa,Serie B,Italy,Loan,0.0
Ondrej Duda,28,Attacking Midfield,Slovakia,4.0,Hellas Verona,Serie A,Italy,Loan,0.0
Roberto Piccoli,21,Centre-Forward,Italy,4.0,Hellas Verona,Serie A,Italy,Loan,0.0
M'Baye Niang,27,Centre-Forward,Senegal,4.0,AJ Auxerre,Ligue 1,France,Free,0.0
Krystian Bielik,24,Defensive Midfield,Poland,4.0,Birmingham,Championship,England,Loan,0.0
Shola Shoretire,18,Right Winger,England,4.0,Bolton,League One,England,Loan,0.0
Darwin Machís,29,Left Winger,Venezuela,4.0,Real Valladolid,LaLiga,Spain,Free,0.0
Sergio Asenjo,33,Goalkeeper,Spain,4.0,Real Valladolid,LaLiga,Spain,Free,0.0
Unai López,26,Central Midfield,Spain,4.0,Rayo Vallecano,LaLiga,Spain,Free,0.0
Erik Botheim,22,Centre-Forward,Norway,4.0,Salernitana,Serie A,Italy,Free,0.0
Xavi Simons,19,Attacking Midfield,Netherlands,4.0,PSV Eindhoven,Eredivisie,Netherlands,Free,0.0
Cole Bassett,21,Attacking Midfield,United States,4.0,Fortuna Sittard,Eredivisie,Netherlands,Loan,0.0
Nemanja Radonjic,26,Left Winger,Serbia,4.0,Torino,Serie A,Italy,Loan,0.0
Yann Karamoh,24,Left Winger,Cote d'Ivoire,4.0,Torino,Serie A,Italy,Unknown,0.0
Chidozie Awaziem,25,Centre-Back,Nigeria,4.0,Hajduk Split,SuperSport HNL,Croatia,Loan,0.0
Ki-Jana Hoever,21,Right-Back,Netherlands,4.0,Stoke City,Championship,England,Loan,0.0
Eduardo Quaresma,20,Centre-Back,Portugal,4.0,TSG Hoffenheim,Bundesliga,Germany,Loan,0.0
Erison,23,Centre-Forward,Brazil,4.0,São Paulo,Série A,Brazil,Loan,0.0
Dogukan Sinik,23,Left Winger,Turkey,4.0,Antalyaspor,Süper Lig,Turkey,Loan,0.0
Andrea Carboni,21,Centre-Back,Italy,4.0,Venezia,Serie B,Italy,Loan,0.0
Mathieu Cafaro,25,Left Winger,France,4.0,Saint-Étienne,Ligue 2,France,Loan,0.0
Ander Herrera,33,Central Midfield,Spain,4.0,Athletic,LaLiga,Spain,Free,0.0
Cheikhou Kouyaté,32,Defensive Midfield,Senegal,4.0,Nottm Forest,Premier League,England,Free,0.0
Matías Arezo,20,Centre-Forward,Uruguay,4.0,Peñarol,Torneo Intermedio,Uruguay,Loan,0.0
Brian Lozano,28,Left Winger,Uruguay,4.0,Peñarol,Primera División Clausura,Uruguay,Loan,0.0
Cédric Soares,31,Right-Back,Portugal,4.0,Fulham,Premier League,England,Loan,0.0
Willian,34,Left Winger,Brazil,4.0,Fulham,Premier League,England,Free,0.0
Arnaud Nordin,24,Right Winger,France,4.0,Montpellier,Ligue 1,France,Free,0.0
Wahbi Khazri,31,Centre-Forward,Tunisia,4.0,Montpellier,Ligue 1,France,Free,0.0
Hamza Choudhury,24,Defensive Midfield,England,4.0,Watford,Championship,England,Loan,0.0
Kortney Hause,27,Centre-Back,England,4.0,Watford,Championship,England,Loan,0.0
Hassane Kamara,28,Left-Back,Cote d'Ivoire,4.0,Watford,Championship,England,Loan,0.0
Mamadou Loum,25,Defensive Midfield,Senegal,4.0,Reading,Championship,England,Loan,0.0
Alessandro Zanoli,22,Right-Back,Italy,4.0,Sampdoria,Serie A,Italy,Loan,0.0
Abdelhamid Sabiri,26,Attacking Midfield,Morocco,4.0,Sampdoria,Serie A,Italy,Loan,0.0
Filip Djuricic,30,Attacking Midfield,Serbia,4.0,Sampdoria,Serie A,Italy,Free,0.0
Samu Castillejo,27,Right Winger,Spain,4.0,Valencia,LaLiga,Spain,Free,0.0
Edinson Cavani,35,Centre-Forward,Uruguay,4.0,Valencia,LaLiga,Spain,Free,0.0
José Luis Morales,34,Centre-Forward,Spain,4.0,Villarreal,LaLiga,Spain,Free,0.0
Akim Zedadka,27,Right-Back,Algeria,4.0,LOSC Lille,Ligue 1,France,Free,0.0
Rony Lopes,26,Right Winger,Portugal,4.0,Troyes,Ligue 1,France,Loan,0.0
Michael Obafemi,22,Centre-Forward,Ireland,4.0,Burnley,Championship,England,Loan,0.0
Rhys Williams,21,Centre-Back,England,4.0,Blackpool,Championship,England,Loan,0.0
Janis Antiste,20,Centre-Forward,France,4.0,Amiens SC,Ligue 2,France,Loan,0.0
Folarin Balogun,21,Centre-Forward,United States,4.0,Stade Reims,Ligue 1,France,Loan,0.0
Erison,23,Centre-Forward,Brazil,4.0,Estoril Praia,Liga Portugal,Portugal,Loan,0.0
Álex Collado,23,Right Winger,Spain,4.0,Elche CF,LaLiga,Spain,Loan,0.0
Alejandro Pozuelo,31,Attacking Midfield,Spain,4.0,Konyaspor,Süper Lig,Turkey,Free,0.0
Andreas Bouchalakis,29,Central Midfield,Greece,4.0,Konyaspor,Süper Lig,Turkey,Loan,0.0
Jens Jönsson,29,Defensive Midfield,Denmark,4.0,AEK Athens,Super League 1,Greece,Free,0.0
Orbelín Pineda,26,Central Midfield,Mexico,4.0,AEK Athens,Super League 1,Greece,Loan,0.0
Harold Moukoudi,24,Centre-Back,Cameroon,4.0,AEK Athens,Super League 1,Greece,Free,0.0
Joseba Zaldua,30,Right-Back,Spain,4.0,Cádiz CF,LaLiga,Spain,Free,0.0
Patryk Klimala,24,Centre-Forward,Poland,4.0,H. Beer Sheva,Ligat ha'Al,Israel,Unknown,0.0
Adama Traoré,27,Attacking Midfield,Mali,4.0,Hull City,Championship,England,Free,0.0
Aguibou Camara,21,Attacking Midfield,Guinea,4.0,Atromitos Athen,Super League 1,Greece,Loan,0.0
Francisco Moura,23,Left-Back,Portugal,4.0,Famalicão,Liga Portugal,Portugal,Loan,0.0
Jaime Seoane,25,Central Midfield,Spain,4.0,Getafe,LaLiga,Spain,Free,0.0
Brian Lozano,28,Left Winger,Uruguay,4.0,Atlas,Liga MX Clausura,Mexico,Loan,0.0
Mounir Chouiar,24,Left Winger,France,4.0,Kasimpasa,Süper Lig,Turkey,Loan,0.0
Stéphane Bahoken,30,Centre-Forward,Cameroon,4.0,Kasimpasa,Süper Lig,Turkey,Free,0.0
Alexandru Mitrita,27,Left Winger,Romania,4.0,Al-Raed,Saudi Pro League,Saudi Arabia,Loan,0.0
Matías Pellegrini,22,Left Winger,Argentina,4.0,New York City,MLS,United States,Free,0.0
Luis Abram,26,Centre-Back,Peru,4.0,Atlanta,MLS,United States,Unknown,0.0
Kamal Miller,25,Centre-Back,Canada,4.0,Miami,MLS,United States,Unknown,0.0
Marcelino Núñez,22,Central Midfield,Chile,1.5,Norwich,Championship,England,Permanent,3.9
Joel Ordóñez,18,Centre-Back,Ecuador,6.0,Club Brugge,Jupiler Pro League,Belgium,Permanent,3.9
Carlos Rotondi,25,Left Winger,Argentina,3.5,CD Cruz Azul,Liga MX Clausura,Mexico,Permanent,3.9
Gennaro Tutino,25,Centre-Forward,Italy,3.8,Parma,Serie B,Italy,Permanent,5.0
Michele Di Gregorio,24,Goalkeeper,Italy,3.8,Monza,Serie A,Italy,Permanent,4.15
Charles Pickel,25,Defensive Midfield,Switzerland,2.5,Cremonese,Serie A,Italy,Permanent,3.8
Ozan Tufan,27,Central Midfield,Turkey,3.8,Hull City,Championship,England,Permanent,3.0
Adam Maher,28,Defensive Midfield,Netherlands,3.8,Damac FC,Saudi Pro League,Saudi Arabia,Permanent,1.8
Eduardo Salvio,31,Right Winger,Argentina,3.8,UNAM Pumas,Liga MX Clausura,Mexico,Free,0.0
Craig Dawson,32,Centre-Back,England,2.5,Wolves,Premier League,England,Permanent,3.75
Samet Akaydin,28,Centre-Back,Turkey,2.5,Fenerbahce,Süper Lig,Turkey,Permanent,3.7
Felipe Carballo,26,Central Midfield,Uruguay,2.0,Grêmio,Série A,Brazil,Permanent,3.7
Josh Doig,20,Left-Back,Scotland,3.0,Hellas Verona,Serie A,Italy,Permanent,3.6
Eren Elmali,21,Left-Back,Turkey,3.2,Trabzonspor,Süper Lig,Turkey,Permanent,3.6
Bruma,28,Left Winger,Portugal,3.6,SC Braga,Liga Portugal,Portugal,Loan,0.0
